doi,publisher,title,journal
10.1063/5.0174168,AIP Publishing,Accuracy of the explicit energy-conserving particle-in-cell method for under-resolved simulations of capacitively coupled plasma discharges,Physics of Plasmas
10.1063/5.0174362,AIP Publishing,Absolute electron density fluctuation reconstruction for two-dimensional hydrogen beam emission spectroscopy,Review of Scientific Instruments
10.1063/5.0176971,AIP Publishing,Neoclassical transport of impurities in tokamaks with non-axisymmetric perturbations,Physics of Plasmas
10.1063/5.0188738,AIP Publishing,Pop-up Langmuir probe diagnostic in the water cooled divertor of Wendelstein 7-X,Review of Scientific Instruments
10.1063/5.0189566,AIP Publishing,Aligning the Thomson scattering and charge exchange recombination diagnostics using neutral beam emission at DIII-D,Review of Scientific Instruments
10.1063/5.0189707,AIP Publishing,Production of warm ions in electron beam generated E × B plasma,Applied Physics Letters
10.1063/5.0190305,AIP Publishing,Laser-driven quasi-static B-fields for magnetized high-energy-density experiments,Physics of Plasmas
10.1063/5.0190908,AIP Publishing,Large-database cross-verification and validation of tokamak transport models using baselines for comparison,Physics of Plasmas
10.1063/5.0197955,AIP Publishing,"Intermittency, bursty turbulence, and ion and electron phase-space holes formation in collisionless current-carrying plasmas",Physics of Plasmas
10.1063/5.0199958,AIP Publishing,Achieving stationary high performance plasmas at Wendelstein 7-X,Physics of Plasmas
10.1063/5.0200894,AIP Publishing,Global micro-tearing modes in the wide pedestal of an NSTX plasma,Physics of Plasmas
10.1063/5.0201683,AIP Publishing,Radiatively cooled magnetic reconnection experiments driven by pulsed power,Physics of Plasmas
10.1063/5.0201780,AIP Publishing,When do waves drive plasma flows?,Physics of Plasmas
10.1063/5.0203015,AIP Publishing,A Spitzer Model-C Stellarator fusion reactor,AIP Advances
10.1063/5.0203125,AIP Publishing,Plasma–liquid interactions in the presence of organic matter—A perspective,Journal of Applied Physics
